# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Hooke, Christopher	Anglican	Conformist	l
Moffett, Peter, d. 1617	Anglican	Conformist	l
Welwood, William, fl. 1578-1622	Anglican	Conformist	l	Lay civilian
Cottesford, Samuel	Anglican	Conformist	l
Daman, William, ca. 1540-1591	Anglican	Conformist	l	Lay musician
Fletcher, Giles, 1549?-1611	Anglican	Conformist	l	Lay
Barnes, Barnabe, 1569?-1609	Anglican	Conformist	l	Lay
Myddelton, William, 1556?-1621	Anglican	Conformist	l	Lay; Welsh
Lowe, Peter, ca. 1550-ca. 1612	Anglican	Conformist	l	Lay surgeon
Barker, Peter, preacher of Gods word	Anglican	Conformist	l
Pie, Thomas, 1560-1610	Anglican	Conformist	l
Ingmethorpe, Thomas	Anglican	Conformist	l
West, William, fl. 1568-1594	Anglican	Conformist	l	Lay
Moffett, Thomas, 1553-1604	Anglican	Conformist	l	Lay physician
Perceval, Richard, 1550-1620	Anglican	Conformist	l	Lay
Thomas, Lewis, b. 1567 or 8	Anglican	Conformist	l
Fulbecke, William, 1560-1603?	Anglican	Conformist	l	Lay lawyer
Perrott, James, Sir, 1571-1637	Anglican	Conformist	l	Lay
Vaughan, William, 1577-1641	Anglican	Conformist	l	Lay
Westerman, William	Anglican	Conformist	l
Younger, William, b. 1572 or 3	Anglican	Conformist	l
Gill, Alexander, 1565-1635	Anglican	Conformist	l	Lay schoolmaster
Malynes, Gerard, fl. 1586-1641	Anglican	Conformist	l	Lay
Deloney, Thomas, 1543?-1600	Anglican	Conformist	l	Lay
Hull, John, 1569 or 70-1627	Anglican	Conformist	l
Nicholson, Samuel, fl. 1600-1602	Anglican	Conformist	l
Leighton, William, Sir, fl. 1603-1614	Anglican	Conformist	l	Lay
Burt, Thomas, preacher of the word	Anglican	Conformist	l
Corderoy, Jeremy, b. 1562 or 3	Anglican	Conformist	l
Godskall, James	Anglican	Conformist	l
Hopkins, John, fl. 1604-1609	Anglican	Conformist	l
Wolcomb, Robert, b. 1567 or 8	Anglican	Conformist	l
Kilby, Richard, d. 1617	Anglican	Conformist	l
Milles, Tho. (Thomas), 1550?-1627?	Anglican	Conformist	l	Lay
Stoneham, Mathew	Anglican	Conformist	l
Gray, Robert, 16th/17th cent	Anglican	Conformist	l
Johnson, Robert, chaplain to the Bishop of Lincoln	Anglican	Conformist	l
Mayo, John K.	Anglican	Conformist	l
Woodwall, William	Anglican	Conformist	l
Alliston, Joseph	Anglican	Conformist	l
Dunster, John	Anglican	Conformist	l
Fletcher, Giles, 1588?-1623	Anglican	Conformist	l	Lay poet
Graile, Edmond, b. ca. 1577	Anglican	Conformist	l
Hopton, Arthur, 1587 or 8-1614	Anglican	Conformist	l	Lay
Seller, John, 1592 or 3-1648	Anglican	Conformist	l
Webb, Richard, preacher of God's word	Anglican	Conformist	l
Daborne, Robert, d. 1628	Anglican	Conformist	l	Lay dramatist
Moore, John, d. 1619	Anglican	Conformist	l
Newhouse, Thomas, d. 1611	Anglican	Conformist	l
Gibson, Abraham, b. 1586 or 7	Anglican	Conformist	l
Pemberton, William, d. 1622	Anglican	Conformist	l
Rolte, John	Anglican	Conformist	l
Bury, John, 1580-1667	Anglican	Conformist	l
Forsyth, James, fl. 1615-1619	Anglican	Conformist	l
Case, William, 1584 or 5-1634	Anglican	Conformist	l
Hay, Peter, gentleman of North-Britaine	Anglican	Conformist	l	Lay
Carpenter, Richard, 1575-1627	Anglican	Conformist	l	Not the convert of d. 1670?
Sym, John	Anglican	Conformist	l
Harrison, John, fl. 1610-1638	Anglican	Conformist	l
Ley, Roger, b. 1593 or 4	Anglican	Conformist	l
Oldmayne, Timothy	Anglican	Conformist	l
Gibson, Samuel	Anglican	Conformist	l
Lewis, John, b. 1595 or 6	Anglican	Conformist	l
Styles, Christopher	Anglican	Conformist	l
Goldwell, Charles	Anglican	Conformist	l
Lovell, Robert, curate of Allhallows, Barking	Anglican	Conformist	l
Proctor, Thomas, fl. 1621	Anglican	Conformist	l
Stint, Thomas	Anglican	Conformist	l
Meredith, John, b. 1579 or 80	Anglican	Conformist	l
Balmford, Samuel, d. 1659?	Anglican	Conformist	l
Dalton, Edward	Anglican	Conformist	l
Mico, John	Anglican	Conformist	l
Rogers, Henry, ca. 1585-1658	Anglican	Conformist	l
Taylor, Augustine	Anglican	Conformist	l
Wastel, Simon, d. 1632	Anglican	Conformist	l
Darcie, Abraham, fl. 1625	Anglican	Conformist	l	Lay
Randal, John, b. 1594 or 5	Anglican	Conformist	l
Everinden, Humphrey	Anglican	Conformist	l
Hart, James, of Northampton	Anglican	Conformist	l	Lay physician
Phillips, John, d. 1640	Anglican	Conformist	l
Udny, Alexander, minister of Hauking in Kent	Anglican	Conformist	l
Waker, John	Anglican	Conformist	l
Wilson, John, d. 1630	Anglican	Conformist	l
Jay, George	Anglican	Conformist	l
Jackson, John, 1600-1648	Anglican	Conformist	l
Spencer, Thomas, fl. 1628-1629	Anglican	Conformist	l
Foster, William, 1591-1643	Anglican	Conformist	l
Parkinson, John, 1567-1650	Anglican	Conformist	l	Lay apothecary
Smith, John, 1563-1616	Anglican	Conformist	l
Cobbes, Edmund, b. 1592 or 3	Anglican	Conformist	l
Delamain, Richard, fl. 1631	Anglican	Conformist	l	Lay
Harsnett, Adam, 1579 or 80-1639	Anglican	Conformist	l
Richards, Nathanael, ca. 1600-1652	Anglican	Conformist	l	Lay
Craven, Isaac, d. 1660	Anglican	Conformist	l
Fludd, Robert, 1574-1637	Anglican	Conformist	l	Lay physician
Morray, William	Anglican	Conformist	l
Bloys, William, 17th cent	Anglican	Conformist	l
Harflete, Henry, fl. 1653	Anglican	Conformist	l	Lay
Day, John, 1574-1640?	Anglican	Conformist	l	Lay dramatist
Monlas, John	Anglican	Conformist	l
Wigmore, Michael, 1588 or 9-1664?	Anglican	Conformist	l
Blaxton, John	Anglican	Conformist	l
Clarke, John, d. 1658	Anglican	Conformist	l
Powell, Robert, fl. 1636-1652	Anglican	Conformist	l	Lay
Buck, James	Anglican	Conformist	l
Rous, Francis, b. 1615	Anglican	Conformist	l	Lay
Goodwin, Thomas, 1586 or 7-1642	Anglican	Conformist	l	The antiquary; not the Congregationalist
Logie, Andrew	Anglican	Conformist	l	Aberdeen

# ── Anglican, Puritan ─────────────────────────────────────────────
Whittingham, William, d. 1579	Anglican	Puritan	h	Geneva exile; the Geneva Bible
Humphrey, Laurence, 1525 or 6-1589	Anglican	Puritan	h	Marian exile; vestiarian
Chaderton, Laurence, 1536?-1640	Anglican	Puritan	h	First Master of Emmanuel
Whitaker, William, 1548-1595	Anglican	Puritan	h	Regius Professor at Cambridge
Kethe, William, d. 1608?	Anglican	Puritan	h	Geneva exile; the psalms
Norton, Thomas, 1532-1584	Anglican	Puritan	h	Lay; translated Calvin's Institutes
Capel, Richard, 1586-1656	Anglican	Puritan	h
Carter, John, 1554-1635	Anglican	Puritan	h
Dyke, Daniel, d. 1614	Anglican	Puritan	h
Hinde, William, 1569?-1629	Anglican	Puritan	h
Parker, Robert, 1564-1614	Anglican	Puritan	h	Exiled for nonconformity
Kingsmill, Andrew, 1538-1569	Anglican	Puritan	m
Golding, Arthur, 1536-1606	Anglican	Puritan	m	Lay translator
Bull, Henry, d. 1575?	Anglican	Puritan	m
Stockwood, John, d. 1610	Anglican	Puritan	m
Bird, Samuel, d. 1604	Anglican	Puritan	m
Pigg, Oliver, b. ca. 1551	Anglican	Puritan	m
Andrewes, Bartimaeus	Anglican	Puritan	m
Bredwell, Stephen	Anglican	Puritan	m
Herring, Theodore, 1596-1645	Anglican	Puritan	m
Cotton, Clement	Anglican	Puritan	m	Englished Calvin's sermons
Rudyerd, Benjamin, Sir, 1572-1658	Anglican	Puritan	m	Lay; MP
Rogers, John, of Chacombe	Anglican	Puritan	m
Hughes, Lewes, fl. 1620	Anglican	Puritan	l

# ── Presbyterian ──────────────────────────────────────────────────
Throckmorton, Job, 1545-1601	Presbyterian	Puritan	h	Almost certainly Martin Marprelate's hand
Melville, James, 1556-1614	Presbyterian	Puritan	h	Church of Scotland
Welch, John, 1568?-1622	Presbyterian	Puritan	h	Church of Scotland
Pont, Robert, 1524-1606	Presbyterian	Puritan	h	Church of Scotland
Simson, Patrick, 1556-1618	Presbyterian	Puritan	h	Church of Scotland
Fergusson, David, d. 1598	Presbyterian	Puritan	h	Church of Scotland
Buchanan, George, 1506-1582	Presbyterian	Puritan	h	Lay; tutor to James VI
Byfield, Adoniram, d. 1660	Presbyterian	Puritan	h	Scribe to the Westminster Assembly
Stoughton, William, fl. 1584	Presbyterian	Puritan	m
Adamson, John, d. 1653	Presbyterian	Puritan	m	Church of Scotland
Narne, William, 1583?-1653	Presbyterian	Puritan	m	Church of Scotland
Hume, Alexander, schoolmaster	Presbyterian	Puritan	l	Church of Scotland

# ── Congregational and Independent ────────────────────────────────
Browne, Robert, ca. 1550-1633	Congregational	Puritan	h	The Brownists took his name
Greenwood, John, d. 1593	Congregational	Puritan	h	Separatist; hanged 1593
Whitfield, Henry, 1597-1660?	Congregational	Puritan	h	New England
Norris, Edward, 1584-1659	Congregational	Puritan	m	New England

# ── Baptist ───────────────────────────────────────────────────────
Murton, John	Baptist	Puritan	h	General Baptist, with Helwys
Busher, Leonard	Baptist	Puritan	h	Religion's Peace, the first English plea for toleration

# ── Socinian ──────────────────────────────────────────────────────
Kett, Francis, d. 1589	Socinian		m	Burned at Norwich for denying the divinity of Christ

# ── Party without a body ──────────────────────────────────────────
Everard, John, 1575?-1650?		Puritan	l	Mystic; tried repeatedly, settled nowhere

# ══ Eighth pass ═══════════════════════════════════════════════════

# ── Anglican, conforming ──────────────────────────────────────────
Piers, William, 1580-1670	Anglican	Conformist	h	Laudian; Bishop of Bath and Wells
Westfield, Thomas, 1573-1644	Anglican	Conformist	h	Bishop of Bristol
Warner, John, 1581-1666	Anglican	Conformist	h	Bishop of Rochester; not the Jesuit
Maxwell, John, 1590?-1647	Anglican	Conformist	h	Scottish bishop; the 1637 prayer book
Chappell, William, 1582-1649	Anglican	Conformist	h	Bishop of Cork
Barwick, John, 1612-1664	Anglican	Conformist	h	Dean of St Paul's
Brough, W. (William), d. 1671	Anglican	Conformist	h
Herbert, George, 1593-1633	Anglican	Conformist	h	The Country Parson
Browne, Thomas, Sir, 1605-1682	Anglican	Conformist	h	Lay physician
Walton, Izaak, 1593-1683	Anglican	Conformist	h	Lay
Dugdale, William, Sir, 1605-1686	Anglican	Conformist	h	Lay antiquary
Duport, James, 1606-1679	Anglican	Conformist	h
Perrinchief, Richard, 1623?-1673	Anglican	Conformist	h
Rust, George, d. 1670	Anglican	Conformist	h	Bishop of Dromore
Honyman, Andrew, 1619-1676	Anglican	Conformist	h	Scottish bishop
Sheridan, William, 1636-1711	Anglican	Conformist	h	Bishop of Kilmore; nonjuror
True son of the Church of England	Anglican	Conformist	h	The catalogue's own description is the answer
Sparke, Edward, d. 1692	Anglican	Conformist	m
Vertue, Henry, d. 1660	Anglican	Conformist	m
Cartwright, William, 1611-1643	Anglican	Conformist	m
Somner, William, 1598-1669	Anglican	Conformist	m	Lay antiquary
Langbaine, Gerard, 1609-1658	Anglican	Conformist	m
Gardiner, Richard, 1591-1670	Anglican	Conformist	m
Isaacson, Henry, 1581-1654	Anglican	Conformist	m
Spelman, John, Sir, 1594-1643	Anglican	Conformist	m	Lay
Cowley, Abraham, 1618-1667	Anglican	Conformist	m	Lay poet
Killigrew, Henry, 1613-1700	Anglican	Conformist	m
Stampe, William, 1611-1653?	Anglican	Conformist	m
Towgood, Richard, 1595?-1683	Anglican	Conformist	m
Bewick, John, d. 1671	Anglican	Conformist	m
Grimston, Harbottle, Sir, 1603-1685	Anglican	Conformist	m	Lay
Harwood, Richard, d. 1669	Anglican	Conformist	m
Pagitt, Ephraim, 1574 or 5-1647	Anglican	Conformist	m	Heresiography
Sheringham, Robert, 1602-1678	Anglican	Conformist	m
Brunsell, Samuel, 1619 or 20-1688	Anglican	Conformist	m
Greaves, John, 1602-1652	Anglican	Conformist	m	Lay
Harvey, Christopher, 1597-1663	Anglican	Conformist	m
Wodenote, Theophilus, d. 1662	Anglican	Conformist	m
Elderfield, Christopher, 1607-1652	Anglican	Conformist	m
Gunton, Simon, 1609-1676	Anglican	Conformist	m
Howel, James, 1594?-1666	Anglican	Conformist	m	Lay
Willan, Edward	Anglican	Conformist	m
Chafie, Thomas	Anglican	Conformist	m	Wrote against the Seventh Day men
Charleton, Walter, 1619-1707	Anglican	Conformist	m	Lay physician
Scattergood, Antony, 1611-1687	Anglican	Conformist	m
Ashwell, George, 1612-1695	Anglican	Conformist	m
Bogan, Zachary, 1625-1659	Anglican	Conformist	m
Gardiner, Samuel, 1619 or 20-1686	Anglican	Conformist	m	Not the Elizabethan
Day, William, ca. 1605-1684	Anglican	Conformist	m
Hibbert, Henry, 1601 or 2-1678	Anglican	Conformist	m
Marshall, Thomas, 1621-1685	Anglican	Conformist	m
Washbourne, Thomas, 1606-1687	Anglican	Conformist	m
Hotchkis, Thomas	Anglican	Conformist	m
Chewney, Nicholas, 1609 or 10-1685	Anglican	Conformist	m
Wright, Abraham, 1611-1690	Anglican	Conformist	m
Ingelo, Nathaniel, 1621?-1683	Anglican	Conformist	m
Parry, Benjamin, 1634-1678	Anglican	Conformist	m
Smith, Thomas, 1623 or 4-1661	Anglican	Conformist	m	Wrote against the Quakers
Creed, William, 1614 or 15-1663	Anglican	Conformist	m
Lloyd, David, 1635-1692	Anglican	Conformist	m
Martin, John, 1619-1693	Anglican	Conformist	m
Rowland, John, 1606-1660	Anglican	Conformist	m
Sudbury, John, 1604-1684	Anglican	Conformist	m
Walsall, Francis, d. 1661	Anglican	Conformist	m
Howel, William, 1631 or 2-1683	Anglican	Conformist	m
Foulis, Henry, ca. 1635-1669	Anglican	Conformist	m
Hackett, Thomas, d. 1697	Anglican	Conformist	m
Riland, John, 1619?-1673	Anglican	Conformist	m
Clifford, James, 1622-1698	Anglican	Conformist	m
Goad, J. (John), 1616-1689	Anglican	Conformist	m
Smallwood, Allan, 1608-1686	Anglican	Conformist	m
Bagshaw, Henry, 1632-1709	Anglican	Conformist	m
Woodford, Samuel, 1636-1700	Anglican	Conformist	m
Ellis, John, 1599?-1665	Anglican	Conformist	m	Not the man of 1606?-1681
Basset, William, 1644-1695	Anglican	Conformist	m
Bréval, Monsieur de (François Durant), d. 1707	Anglican	Conformist	m	Huguenot who took English orders
D'Assigny, Marius, 1643-1717	Anglican	Conformist	m	Huguenot who took English orders
Seignior, George, d. 1678	Anglican	Conformist	m
Crompe, John	Anglican	Conformist	l
Vincent, Philip, b. 1600	Anglican	Conformist	l
Hodson, William, fl. 1625-1640	Anglican	Conformist	l
Nicanor, Lysimachus, 1603-1641	Anglican	Conformist	l	A pen name for a Scottish episcopalian satire
Parks, William, curat of Chelaston	Anglican	Conformist	l
Eglesfield, James, b. 1601 or 2	Anglican	Conformist	l
Hill, Augustine, d. 1660	Anglican	Conformist	l
Darton, Nicholas, 1603-1649?	Anglican	Conformist	l
Jones, Thomas, of Hereford	Anglican	Conformist	l
Quintyne, Michael	Anglican	Conformist	l
Vincent, Humfrey	Anglican	Conformist	l
Fenwick, William, 1616 or 17-ca. 1682	Anglican	Conformist	l
Giles, Mascall, 1595 or 6-1652	Anglican	Conformist	l
Pigot, John	Anglican	Conformist	l
Bales, Peter, 1547-1610?	Anglican	Conformist	l	Lay
Harcourt, Daniel	Anglican	Conformist	l
Jordan, Thomas, 1612?-1685?	Anglican	Conformist	l	Lay
Sheppard, S. (Samuel)	Anglican	Conformist	l	Lay
Head, Richard, Rev	Anglican	Conformist	l
Palmer, George, b. 1596 or 7	Anglican	Conformist	l
Mercurius Melancholicus, fl. 1648	Anglican	Conformist	l	A royalist newsbook pen name
Mercurius Elenticus	Anglican	Conformist	l	A royalist newsbook pen name
Nicholas, Edward	Anglican	Conformist	l
One that feares God, and honors his King	Anglican	Conformist	l
Rocket, John	Anglican	Conformist	l
Bradshaw, John, 17th cent	Anglican	Conformist	l
Hoddesdon, John, fl. 1650	Anglican	Conformist	l
Houghton, William, preacher at Bicknor in Kent	Anglican	Conformist	l
Rich, Jeremiah, d. 1660?	Anglican	Conformist	l	Lay stenographer
Robins, Thomas, fl. 1672-1685	Anglican	Conformist	l
Saunders, Richard, d. 1692	Anglican	Conformist	l
Elmeston, John	Anglican	Conformist	l
Baiteman, George	Anglican	Conformist	l
Hall, John, of Richmond	Anglican	Conformist	l	Lay
Plat, Hugh, Sir, 1552-1611?	Anglican	Conformist	l	Lay
Vilvain, Robert, 1575?-1663	Anglican	Conformist	l	Lay physician
Gayton, Edmund, 1608-1666	Anglican	Conformist	l	Lay
Robinson, John, Preacher at East-Thorpe	Anglican	Conformist	l	Not the pastor at Leiden
Davies, Athanasius, b. 1620 or 21	Anglican	Conformist	l
Houghton, Aylmer	Anglican	Conformist	l
Langley, William, b. 1609 or 10	Anglican	Conformist	l
Stanley, Thomas, 1625-1678	Anglican	Conformist	l	Lay
Cragge, John, M.A.	Anglican	Conformist	l
Harvey, William, minister of the Word	Anglican	Conformist	l
Wade, Christopher, 17th cent	Anglican	Conformist	l	Wrote against the Quakers
Wharton, George, Sir, 1617-1681	Anglican	Conformist	l	Lay
Durham, William, d. 1686	Anglican	Conformist	l	Not the man of 1611-1684
Guillim, John, 1565-1621	Anglican	Conformist	l	Lay herald
Howard, Robert, Sir, 1626-1698	Anglican	Conformist	l	Lay
Stephens, Thomas, fl. 1648-1677	Anglican	Conformist	l
Goddard, Thomas	Anglican	Conformist	l
King, John, D.D.	Anglican	Conformist	l
Trenchfield, Caleb, 1624 or 5-1671	Anglican	Conformist	l
Winter, John, 1621?-1698?	Anglican	Conformist	l
Bradley, Samuel	Anglican	Conformist	l
Glover, Henry, b. 1624 or 5	Anglican	Conformist	l
Ireland, Thomas, Sir	Anglican	Conformist	l	Lay
Flower, Christopher, 1621 or 2-1699	Anglican	Conformist	l
Wilson, Joseph, d. 1678	Anglican	Conformist	l
Pichard, Thomas	Anglican	Conformist	l
Johnson, James, 1639 or 40-1704	Anglican	Conformist	l

# ── Anglican, Puritan ─────────────────────────────────────────────
Ward, Samuel, 1572-1643	Anglican	Puritan	h	Master of Sidney Sussex; British delegate to Dort
Marbury, Francis, d. 1611	Anglican	Puritan	m
Pricke, Robert, d. ca. 1608	Anglican	Puritan	m
Estwick, Nicolas	Anglican	Puritan	m
Eaton, John, 1574 or 5-1641	Anglican	Puritan	m	Antinomian
Gage, Thomas, 1603?-1656	Anglican	Puritan	m	A Dominican who turned Protestant
Culmer, Richard, d. 1662	Anglican	Puritan	m	Broke the windows at Canterbury
Rogers, Timothy, 1598-1650?	Anglican	Puritan	m	Not the Presbyterian of 1658-1728
Carter, John, d. 1655	Anglican	Puritan	m	The younger
Rushworth, John, 1612?-1690	Anglican	Puritan	m	Lay
Graile, John	Anglican	Puritan	m
Secker, William, d. 1681?	Anglican	Puritan	m
Billingsley, Nicholas, 1633-1709	Anglican	Puritan	m
Turner, John, 17th cent	Anglican	Puritan	l
Wolfall, Thomas	Anglican	Puritan	l
Calver, Edward, fl. 1649	Anglican	Puritan	l
Beech, William	Anglican	Puritan	l
Benbrigge, John	Anglican	Puritan	l
Knutton, Immanuel, d. 1655	Anglican	Puritan	l
Prime, H.	Anglican	Puritan	l
Ward, John, d. 1665	Anglican	Puritan	l
Barnett, Nehemiah, b. 1614 or 15	Anglican	Puritan	l
Bond, Samson	Anglican	Conformist	l
Burroughes, Thomas, b. 1611 or 12	Anglican	Puritan	l
Lavor, Henry	Anglican	Puritan	l
Pope, James, fl. 1675	Anglican	Puritan	l
Tookey, Thomas, d. 1656	Anglican	Puritan	l
Ley, William, b. 1620 or 21	Anglican	Puritan	l
Burt, Nathaniel, fl. 1644-1655	Anglican	Puritan	l
Jones, John, of Neyath, Brecon	Anglican	Puritan	l
Carpenter, Henry, 1605 or 6-1662	Anglican	Puritan	l
North, John	Anglican	Puritan	l
Ady, Thomas	Anglican	Puritan	l	Lay
Garbutt, Richard	Anglican	Puritan	l
Allen, John, 17th cent	Anglican	Puritan	l
Malpas, Thomas	Anglican	Puritan	l
Pressick, George	Anglican	Puritan	l
Worden, Thomas	Anglican	Puritan	l
Waite, John, fl. 1666	Anglican	Conformist	l

# ── Presbyterian ──────────────────────────────────────────────────
Smectymnuus	Presbyterian	Puritan	h	Marshall, Calamy, Young, Newcomen and Spurstowe
Coleman, Thomas, 1598-1647	Presbyterian	Puritan	h	Westminster divine; the Erastian
Staunton, Edmund, 1600-1671	Presbyterian	Puritan	h	Westminster divine
Whittaker, Jeremiah, 1599-1654	Presbyterian	Puritan	h	Westminster divine
Young, Thomas, 1587-1655	Presbyterian	Puritan	h	Smectymnuus; Milton's tutor
Forbes, John, 1593-1648	Presbyterian	Puritan	h	Exiled Scot at Delft
Angier, John, 1605-1677	Presbyterian	Puritan	h
Petrie, Alexander, 1594?-1662	Presbyterian	Puritan	h	Scots church at Rotterdam
Douglas, Robert, 1594-1674	Presbyterian	Puritan	h	Church of Scotland
Guthrie, James, 1612?-1661	Presbyterian	Puritan	h	Church of Scotland; hanged 1661
Nisbet, Alexander, 1623-1669	Presbyterian	Puritan	h	Church of Scotland
Wood, James, 1608-1664	Presbyterian	Puritan	h	Church of Scotland
Bruce, Michael, 1634 or 5-1693	Presbyterian	Puritan	h	Covenanter
Stewart, James, Sir, 1635-1713	Presbyterian	Puritan	h	Lay; Naphtali
Hickman, Henry, d. 1692	Presbyterian	Puritan	h
White, Thomas, Presbyterian minister in London	Presbyterian	Puritan	h	The catalogue names his church
Geree, Stephen, 1594-1656?	Presbyterian	Puritan	m	Brother of John Geree
Downing, Calybute, 1606-1644	Presbyterian	Puritan	m
White, John, 1590-1645	Presbyterian	Puritan	m	Lay; MP, called "Century White"
Cranford, James, d. 1657	Presbyterian	Puritan	m
Lawrence, George, 1615-1695?	Presbyterian	Puritan	m
Rathband, William, d. 1695	Presbyterian	Puritan	m
Stalham, John, d. 1681	Presbyterian	Puritan	m
Brownsword, William, b. 1625 or 6	Presbyterian	Puritan	m
Colvill, William, d. 1675	Presbyterian	Puritan	m	Church of Scotland
Drayton, Thomas, d. 1658?	Presbyterian	Puritan	m
Hanmer, Jonathan, 1606-1687	Presbyterian	Puritan	m
Warren, John, minister of Hatfield Broad Oak, Essex	Presbyterian	Puritan	m
Finch, Martin, 1628?-1698	Presbyterian	Puritan	m
Stedman, Rowland, 1630?-1673	Presbyterian	Puritan	m
Oldfield, John, 1627?-1682	Presbyterian	Puritan	m
Wilcock, James, d. 1662	Presbyterian	Puritan	l
Hardwick, Humphrey, b. 1601 or 2	Presbyterian	Puritan	l
Palmer, Thomas, b. ca. 1620	Presbyterian	Puritan	l
Miller, Joshua, 17th cent	Presbyterian	Puritan	l
Church, Josiah	Presbyterian	Puritan	l
Douglas, Thomas, fl. 1661	Presbyterian	Puritan	l

# ── Congregational and Independent ────────────────────────────────
Chidley, Katherine	Congregational	Puritan	h	Wrote for the Independents against Edwards
Winthrop, John, 1588-1649	Congregational	Puritan	h	Lay; Governor of Massachusetts
Ward, Nathaniel, 1578-1652	Congregational	Puritan	h	New England; the Body of Liberties
Stone, Samuel, 1602-1663	Congregational	Puritan	h	New England
Stoughton, William, 1632-1701	Congregational	Puritan	h	New England
Mitchel, Jonathan, 1624-1668	Congregational	Puritan	h	New England
Whiting, Samuel, 1597-1679	Congregational	Puritan	h	New England
Bartlet, William, 1609 or 10-1682	Congregational	Puritan	h
Archer, John, Master of Art	Congregational	Puritan	m	Millenarian
Larkham, Thomas, 1602-1669	Congregational	Puritan	m
Tickell, John, d. 1694	Congregational	Puritan	m
Eyre, William, 1612 or 13-1670	Congregational	Puritan	m
Murcot, John, 1625-1654	Congregational	Puritan	m
Bellers, Fulk, b. 1605 or 6	Congregational	Puritan	m
Hammond, Samuel, d. 1665	Congregational	Puritan	m
Polwheile, Theophilus, d. 1689	Congregational	Puritan	m
Stuckley, Lewis, 1621 or 2-1687	Congregational	Puritan	m
Jennings, Theodore	Congregational	Puritan	l

# ── Baptist ───────────────────────────────────────────────────────
How, Samuel	Baptist	Puritan	h	The Sufficiency of the Spirit's Teaching
Cornwell, Francis	Baptist	Puritan	h
Denne, Henry, 1606 or 7-1660?	Baptist	Puritan	h	General Baptist
Cox, Benjamin, fl. 1646	Baptist	Puritan	h	Particular Baptist
Jessey, Henry, 1603-1663	Baptist	Puritan	h
Caffyn, Matthew, 1628-1714	Baptist	Puritan	h	General Baptist
Cheare, Abraham, d. 1668	Baptist	Puritan	h
Pendarves, John, 1622-1656	Baptist	Puritan	h
Jeffery, William, 1616-1693	Baptist	Puritan	h	General Baptist
Hardcastle, Thomas, d. 1678?	Baptist	Puritan	h
Lamb, Thomas, d. 1686	Baptist	Puritan	m	General Baptist
Garner, Robert	Baptist	Puritan	m
Drapes, Edward	Baptist	Puritan	m
Chillenden, Edmund, fl. 1656	Baptist	Puritan	m
Ockford, James	Baptist	Puritan	m	Seventh Day
Hicks, Thomas, 17th cent	Baptist	Puritan	m	Wrote against the Quakers
Wright, Joseph, 1623-1703	Baptist	Puritan	m	General Baptist
Ritor, Andrew	Baptist	Puritan	m
Turner, John, prisoner of our Lord Jesus Christ	Baptist	Puritan	l
Timson, John	Baptist	Puritan	l
Kaye, William	Baptist	Puritan	l

# ── Quaker ────────────────────────────────────────────────────────
Benson, Gervase, d. 1679	Quaker		h
Parker, Alexander, 1628-1689	Quaker		h
Salthouse, Thomas, 1630-1691	Quaker		h
Coale, Josiah, 1632?-1668	Quaker		h
Caton, William, 1636-1665	Quaker		h
Hookes, Ellis, d. 1681	Quaker		h	First recording clerk of the Society
Morford, Thomas, d. 1693	Quaker		h
Fisher, Samuel, 1616 or 17-1681	Quaker		m	Not the Baptist-turned-Quaker of 1605-1665
Rich, Robert, d. 1679	Quaker		m	Of the Perrot separation
Speed, Thomas, b. 1622 or 3	Quaker		m
Vernon, John, fl. 1666	Quaker		m
Higgins, John, 1633-1667	Quaker		m
Lawrence, Thomas, 1645?-1714	Quaker		m
Harrison, Joseph	Quaker		l
Helling, Joseph	Quaker		l

# ── The continent ─────────────────────────────────────────────────
Vedel, Nicolaus, 1596-1642	Continental Reformed		h	Deventer and Franeker
Wolleb, Johannes, 1586-1629	Continental Reformed		h	Basel; the Compendium
Valdés, Juan de, d. 1541	Continental Reformed		m	Spanish evangelical at Naples
Adam, Melchior, d. 1622	Continental Reformed		m	German biographer of the reformers
Thaddaeus, Joannes, fl. 1630	Continental Reformed		m
